,Pick,Team,Player,Year,UUID
0,1,CHI,Derrick Rose,2008,e7d6802d-b0a7-4172-a723-dd36c473553c
1,2,MIA,Michael Beasley,2008,ccc10c40-fa93-45e7-9fdc-77d4414a0ad2
2,3,MIN,OJ Mayo,2008,c2b44ca0-a235-43c1-b1d3-2b0d5a5db83e
3,4,SEA,Russell Westbrook,2008,503e16ad-6e69-4abd-b647-011fefd6883e
4,5,MEM,Kevin Love,2008,d5ae36c1-d5d4-4d26-8c87-cdc42b78b90a
5,6,NYK,Danilo Gallinari,2008,6573b86a-b743-4f04-9a03-c094cf5fc45f
6,7,LAC,Eric Gordon,2008,c9ef1818-96c7-404e-bec3-15d1ff9cc703
7,8,MIL,Joe Alexander,2008,a3329744-f405-4cd1-b54b-855fa84f040a
8,9,CHA,DJ Augustin,2008,642db731-a782-4252-8a65-13454e56f4ac
9,10,NJN,Brook Lopez,2008,a36692c7-1b71-468f-ab88-3d8ab5b548e1
10,11,IND,Jerryd Bayless,2008,6be8ef5a-c796-45e6-a9d2-41f94bb9a976
11,12,SAC,Jason Thompson,2008,4b0c1581-8c55-4aa6-9670-5a55681ddca0
12,13,POR,Brandon Rush,2008,28fc8175-16e6-481e-9d0e-61d09fbade2a
13,14,GSW,Anthony Randolph,2008,9429901a-083b-444f-beb1-e2772bc22327
14,15,PHO,Robin Lopez,2008,4d7f91a6-a041-4861-aa38-da84ec3647c2
15,16,PHI,Marreese Speights,2008,5ddb2904-3470-432a-aa77-4197a63db99a
16,17,TOR,Roy Hibbert,2008,8989fa2f-f01c-456f-85db-e7b610899128
17,18,WAS,JaVale McGee,2008,68b72a95-0ce8-4723-be8d-5ffeaa333aac
18,19,CLE,JJ Hickson,2008,a8d7d83b-1f5a-4102-982d-3e90c0f900da
19,20,CHA,Alexis Ajinca,2008,f94df96c-fd06-4d0b-8472-fab8d8e22aeb
20,21,NJN,Ryan Anderson,2008,10f2952a-16f2-442b-9f0d-34a7851f155f
21,22,ORL,Courtney Lee,2008,473db9ac-4bf3-42aa-97bc-f1d373230c81
22,23,UTA,Kosta Koufos,2008,7fdcd424-ff38-4e1e-82f8-882468cb4465
23,24,SEA,Serge Ibaka,2008,ebd9c171-4045-4a23-b4d3-c3e8fda32b8f
24,25,HOU,Nicolas Batum,2008,1ac6a422-b800-4fdb-92f9-6582da2f974b
25,26,SAS,George Hill,2008,d6d8a4a1-344f-484b-9c8c-3bb3d05e80d7
26,27,NOH,Darrell Arthur,2008,fda74c26-4843-42dc-be30-d9d0b5c04917
27,28,MEM,Donte Greene,2008,3347bb39-3bb5-44a4-b034-1532af53888a
28,29,DET,DJ White,2008,a17ac3da-104e-43c1-bb8b-f43af2da7728
29,30,BOS,JR Giddens,2008,687e6137-7b65-4058-84da-3ead54b2f907
30,31,MIN,Nikola Pekovic,2008,cd471834-55df-4520-931d-8a08ade601d6
31,32,SEA,Walter Sharpe,2008,c46fd54b-bc22-4fc8-94d4-34a8af7590a8
32,33,POR,Joey Dorsey,2008,10ee49af-5dda-4808-911f-6d578ed10d33
33,34,MIN,Mario Chalmers,2008,ef58d8ba-e529-4bcc-9e67-981596317b99
34,35,LAC,DeAndre Jordan,2008,ede63d42-e042-41e3-89a4-4c40797689c3
35,36,POR,Omer Asik,2008,4af35ff3-66c1-4f32-ab0d-7311af656dbe
36,37,MIL,Luc Mbah a Moute,2008,0b7e9db4-920e-4897-a309-b15c92e20f06
37,38,CHA,Kyle Weaver,2008,56620c96-3caf-431a-8184-827833fa3e5e
38,39,CHI,Sonny Weems,2008,9b9bc5df-0639-47b2-8d02-9938e6907efa
39,40,NJN,Chris Douglas-Roberts,2008,429e7f4b-5312-445f-84cc-a20ab0f951ae
40,41,IND,Nathan Jawai,2008,c6d816f8-b9e0-48a9-809f-d51796cbfdf3
41,42,SAC,Sean Singletary,2008,d2c87cc2-2fab-46bd-bace-13e39465470a
42,43,SAC,Patrick Ewing,2008,6363c843-dec8-4e97-b244-2d2d4b06ff1a
43,44,UTA,Ante Zizic,2008,57496917-dc08-4805-a384-ae1d148a409a
44,45,SAS,Goran Dragic,2008,63f94e4b-0ea5-4f9b-b2e0-95851e27442b
45,46,SEA,Tremont Waters,2008,72521861-4326-405b-b75a-520141965fa7
46,47,WAS,Henry Walker,2008,86c8a093-80f6-4f1b-bf40-2f595132aa6c
47,48,PHO,Malik Hairston,2008,a7e50bd8-6b21-4516-bbfc-dc28b52d5020
48,49,GSW,Richard Hendrix,2008,f0260225-8d2d-44a5-ada2-26b115c67ec9
49,50,SEA,Devin Harris,2008,c54c7212-4eb4-4297-99cb-63f06139cd74
50,51,DAL,Shane Battier,2008,4d73dc7b-f969-4093-87dd-813ce167c15c
51,52,MIA,Darnell Jackson,2008,33a34412-4dac-4a6e-a9d3-74c9d5190f61
52,53,UTA,Tadija Dragićević,2008,
53,54,HOU,Maarty Leunen,2008,
54,55,POR,Mike Taylor,2008,a472c67a-1b30-437b-9b95-599bca187501
55,56,SEA,Sasha Kaun,2008,b273762e-0141-4dfa-ac61-f4881f29a7d2
56,57,SAS,James White,2008,6f678f6e-e184-445a-a409-c13c468ff108
57,58,LAL,Jordan Crawford,2008,c4a51fed-c79a-41d4-9281-c75eba53cb9b
58,59,DET,Darius Washington,2008,005bba32-3654-469c-b209-87e469ce7b2c
59,60,BOS,Semih Erden,2008,d25d0864-1622-4c5e-bba1-604c500bd2d6
