,New_name,Original_name
0,Darrell Armstrong,Darrel Armstrong
2,Predrag Stojakovic,Peja Stojakovic
3,PJ Brown,P.J. Brown
4,Jaren Jackson Jr,Jaren Jackson
6,AJ Guyton,A.J. Guyton
7,Stanislav Medvedenko,Slava Medvedenko
9,Hidayet Turkoglu,Hedo Turkoglu
11,Jabari Smith Sr,Jabari Smith
12,Radoslav Nesterovic,Rasho Nesterovic
14,Don MacLean,Don Maclean
15,Iakovos Tsakalidis,Jake Tsakalidis
16,Jim McIlvaine,Jim Mcilvaine
22,Joe Crispin,Joseph Crispin
24,Willie Solomon,Will Solomon
25,Donyell Marshall,Donny Marshall
26,Norm Richardson,Norman Richardson
27,JR Bremer,J.R. Bremer
28,Roger Mason,Roger Mason Jr.
29,Amare Stoudemire,Amar'e Stoudemire
30,Ken Johnson,Kenyata Johnson
32,Mike Sweetney,Michael Sweetney
33,Aleksandar Pavlovic,Sasha Pavlovic
35,Maurice Williams,Mo Williams
36,TJ Ford,T.J. Ford
43,Viktor Khryapa,Victor Khryapa
44,Ibo Kutluay,Ibrahim Kutluay
46,John Lucas,John Lucas III
47,Louis Williams,Lou Williams
49,Sergey Monya,Sergei Monia
51,Walter Herrmann,Walter Herrmann Heinrich
53,Jose Juan Barea,J.J. Barea
54,Louis Amundson,Lou Amundson
55,PJ Tucker,P.J. Tucker
56,Saer Sene,Mouhamed Sene
58,CJ Watson,C.J. Watson
60,DJ White,D.J. White
61,DJ Augustin,D.J. Augustin
62,Roko Ukic,Roko-Leni Ukic
63,OJ Mayo,O.J. Mayo
66,AJ Price,A.J. Price
67,JR Giddens,J.R. Giddens
68,Patrick Mills,Patty Mills
69,BJ Mullens,Byron Mullens
70,Hamady N'Diaye,Hamady Ndiaye
71,Patrick Ewing,Patrick Ewing Jr.
73,Ishmael Smith,Ish Smith
76,DJ Kennedy,D.J. Kennedy
77,Marcus Morris,Marcus Morris Sr.
79,Vyacheslav Kravtsov,Slava Kravtsov
80,Moe Harkless,Maurice Harkless
82,Gigi Datome,Luigi Datome
83,Toure Murry,Toure' Murry
84,Glen Rice Jr,Glen Rice Jr.
85,Tim Hardaway Jr,Tim Hardaway Jr.
86,Otto Porter,Otto Porter Jr.
87,Erik Murphy,Erik Jay Murphy
88,Dennis Schroeder,Dennis Schroder
89,James Ennis,James Ennis III
91,PJ Hairston,P.J. Hairston
92,TJ Warren,T.J. Warren
93,Johnny O'Bryant,Johnny O'Bryant III
94,Marcelo Huertas,Marcelinho Huertas
95,TJ McConnell,T.J. McConnell
96,Larry Nance Jr,Larry Nance Jr.
97,Walter Tavares,Edy Tavares
98,Joseph Young,Joe Young
99,Kelly Oubre,Kelly Oubre Jr.
100,Timothe Luwawu,Timothe Luwawu-Cabarrot
101,DeAndre Bembry,DeAndre' Bembry
102,Derrick Jones,Derrick Jones Jr.
103,Juan Hernangomez,Juancho Hernangomez
104,Wade Baldwin,Wade Baldwin IV
105,Andrew White,Andrew White III
106,OG Anunoby,O.G. Anunoby
107,Frank Mason,Frank Mason III
108,Derrick Walton,Derrick Walton Jr.
109,James Webb,James Webb III
110,Matt Williams,Matt Williams Jr.
111,Wesley Iwundu,Wes Iwundu
112,CJ Williams,C.J. Williams
113,TJ Leaf,T.J. Leaf
114,Dennis Smith,Dennis Smith Jr.
115,Walter Lemon Jr,Walt Lemon Jr.
116,DJ Wilson,D.J. Wilson
117,Danuel House,Danuel House Jr.
118,Cam Reynolds,Cameron Reynolds
119,Raymond Spalding,Ray Spalding
120,Devonte Graham,Devonte' Graham
121,Billy Garrett,Billy Garrett Jr.
122,JP Macura,J.P. Macura
123,Harry Giles,Harry Giles III
124,Lonnie Walker,Lonnie Walker IV
125,Jaren Jackson Jr,Jaren Jackson Jr.
126,Marvin Bagley,Marvin Bagley III
127,Sviatoslav Mykhailiuk,Svi Mykhailiuk
128,Melvin Frazier,Melvin Frazier Jr.
129,Robert Williams,Robert Williams III
130,Gary Trent Jr,Gary Trent Jr.
131,Wendell Carter,Wendell Carter Jr.
132,Naz Long,Naz Mitrou-Long
133,Troy Brown,Troy Brown Jr.
134,Kevin Knox,Kevin Knox II
135,PJ Washington,P.J. Washington
137,Nicolas Claxton,Nic Claxton
139,Charlie Brown,Charlie Brown Jr.
141,Michael Porter,Michael Porter Jr.
142,Brian Bowen,Brian Bowen II
143,Michael Frazier,Michael Frazier II
144,Kevin Porter,Kevin Porter Jr.
146,Robert Woodard,Robert Woodard II
147,Kira Lewis,Kira Lewis Jr.
148,Vernon Carey,Vernon Carey Jr.
149,Kenyon Martin,Kenyon Martin Jr.
150,RJ Hampton,R.J. Hampton
151,Herb Jones,Herbert Jones
152,Santiago Aldama,Santi Aldama
153,Trey Murphy,Trey Murphy III
154,Ishmail Wainright,Ish Wainright
155,BJ Boston,Brandon Boston Jr.
156,Greg Brown,Greg Brown III
157,David Duke,David Duke Jr.
158,RJ Nembhard,RJ Nembhard Jr.
159,Duane Washington Jr,Duane Washington Jr.
160,Chaundee Brown,Chaundee Brown Jr.
161,Josh Primo,Joshua Primo
162,Jeff Dowtin,Jeff Dowtin Jr.
163,Ja'Vonte Smart,Javonte Smart
